mfo_number,alignment
353,
154,
168,
116,
89,
95,
108,
122,
110,
61,
93,
51,
125,
50,
78,
86,
50,
58,
51,
32,
64,
100,
68,
38,
100,
51,
35,
121,
27,
55,
64,
51,
56,
57,
2,МО
24,
90,
25,
46,
34,
42,
62,
28,
33,
42,
65,
32,
21,
41,
47,
83,
24,
24,
126,
7,
52,
39,
13,
57,
15,
10,
40,
46,
50,
24,
48,
42,
53,
43,
35,
81,
37,
5,МО
31,
42,
20,
4,МО
36,
27,
34,
42,
52,
6,МО
33,
37,
3,МО
14,
17,
28,
31,
37,
45,
23,
27,
2,МО
24,
4,МО
18,
44,
23,
19,
59,
31,
24,
24,
21,
24,
21,
22,
19,
14,
21,
18,
6,
39,
3,МО
57,
38,
25,
30,
23,
23,
8,МО
22,
3,МО
16,
21,
29,
2,
12,
2,
45,
3,
10,
8,
15,
6,
2,
8,
25,
9,
18,
1,МО
14,
20,
16,
8,
11,
,
9,
1,МО
13,
9,
1,МО
5,МО
17,
26,
4,
41,
2,МО
19,
15,
13,
11,
11,
22,
7,
16,
7,
9,