region,population_total,population_young,population_workforce,population_old,loans,loans_overdue
Белгородская область,1536466,258850,873576,404040,282773,10964
Брянская область,1164635,200373,659068,305194,187158,7121
Владимирская область,1342235,219772,749208,373255,233908,8684
Воронежская область,2302617,368159,1309476,624982,435062,16979
Ивановская область,924114,149869,516959,257286,144004,5748
Калужская область,1073252,178914,617757,276581,246592,8133
Костромская область,577996,107714,307707,162575,104498,3430
Курская область,1078156,183564,600971,293621,193947,7333
Липецкая область,1138140,194500,642660,300980,196472,9204
Московская область,8542257,1575183,5058072,1909002,2785527,95296
Орловская область,710023,116682,396230,197111,130396,5400
Рязанская область,1098579,174458,612415,311706,223855,7925
Смоленская область,886900,140553,502275,244072,161758,6672
Тамбовская область,979171,138830,552146,288195,155975,7394
Тверская область,1226038,203815,679665,342558,250750,9024
Тульская область,1496690,218970,844078,433642,317409,12402
Ярославская область,1205637,214396,668932,322309,219033,7765
г. Москва,13015126,2047759,7539518,3427849,4202962,120789
Республика Карелия,532384,91510,293919,146955,135014,4589
Республика Коми,734363,138514,425682,170167,196893,6812
Архангельская область,1016030,185226,564960,265844,268995,7397
Ненецкий автономный округ,41426,9347,24539,7540,12480,287
Архангельская область без автономии,974604,175879,540421,258304,256515,7110
Вологодская область,1138424,220736,630828,286860,231121,7690
Калининградская область,1030979,183973,603185,243821,227710,9569
Ленинградская область,2006022,280124,1221888,504010,545762,18139
Мурманская область,665240,127773,397484,139983,197318,6040
Новгородская область,581578,103944,318097,159537,105294,3827
Псковская область,596899,98042,330426,168431,101119,4192
г. Санкт-Петербург,5607916,838937,3365469,1403510,1883381,42591
Республика Адыгея,498285,98262,286770,113253,95863,5058
Республика Калмыкия,266432,58638,150417,57377,81016,2760
Республика Крым,1931091,363696,1072344,495051,144063,3606
Краснодарский край,5832042,1112335,3307887,1411820,1460017,54674
Астраханская область,957772,203640,543830,210302,203600,8335
Волгоградская область,2492808,409110,1454545,629153,414662,16968
Ростовская область,4192322,710490,2423911,1057921,867190,31906
г. Севастополь,547452,93079,329288,125085,48249,855
Республика Дагестан,3186902,811054,1953845,422003,192168,10477
Республика Ингушетия,511316,145814,320469,45033,16644,2196
Кабардино-Балкарская Республика,904338,199410,539605,165323,97893,4806
Карачаево-Черкесская Республика,469096,99780,275519,93797,73150,4626
Республика Северная Осетия – Алания,685393,137242,399059,149092,116439,8069
Чеченская Республика,1514603,494014,871519,149070,83490,5231
Ставропольский край,2902455,535490,1709004,657961,508407,22112
Республика Башкортостан,4091621,818105,2328492,945024,1019102,35633
Республика Марий Эл,676351,132939,376367,167045,114038,3470
Республика Мордовия,781440,114783,449377,217280,125948,4262
Республика Татарстан,4000084,773743,2283072,943269,1076568,27658
Удмуртская Республика,1448946,296719,806303,345924,373439,10934
Чувашская Республика,1183908,231514,664025,288369,253720,6643
Пермский край,2525149,511793,1413072,600284,589463,18718
Кировская область,1149176,198538,617040,333598,226368,8165
Нижегородская область,3108918,543407,1740931,824580,601013,17224
Оренбургская область,1855781,360892,1039313,455576,417632,15587
Пензенская область,1261103,200206,705997,354900,233448,7894
Самарская область,3164384,552098,1799419,812867,605602,27107
Саратовская область,2431012,394826,1397115,639071,403311,16863
Ульяновская область,1191661,201949,660923,328789,218310,7747
Курганская область,772332,153408,399807,219117,156440,5642
Свердловская область,4263691,840806,2399910,1022975,1067851,33055
Тюменская область,3827679,856166,2284581,686932,1458464,40042
Ханты-Мансийский авт. округ – Югра,1713763,389203,1054388,270172,682036,18831
Ямало-Ненецкий автономный округ,511244,118576,329920,62748,254627,6095
Тюменская область без автономий,1602672,348387,900273,354012,521802,15116
Челябинская область,3421556,671416,1922152,827988,721705,23951
Республика Алтай,210808,57670,116027,37111,41121,1952
Республика Тыва,336251,113268,188579,34404,121281,2999
Республика Хакасия,532988,116811,297354,118823,117400,4650
Алтайский край,2154932,424089,1182444,548399,416951,16429
Красноярский край,2856326,569281,1659215,627830,744953,26220
Иркутская область,2363447,518049,1331387,514011,583709,22589
Кемеровская область – Кузбасс,2592013,498265,1463954,629794,529550,20512
Новосибирская область,2797492,535264,1598243,663985,776136,24136
Омская область,1851537,365420,1031217,454900,388523,14697
Томская область,1062726,201526,622135,239065,232187,7906
Республика Бурятия,977951,236220,554161,187570,214228,7597
Республика Саха (Якутия),997833,239899,600232,157702,397740,10439
Забайкальский край,1000520,220626,586897,192997,235084,9287
Камчатский край,292574,56848,179192,56534,98279,3350
Приморский край,1841961,322405,1089242,430314,523660,15823
Хабаровский край,1292764,243458,764628,284678,360003,12045
Амурская область,763570,154011,448161,161398,218215,7061
Магаданская область,135907,24995,84617,26295,53487,1806
Сахалинская область,466009,82651,276198,107160,166737,5907
Еврейская автономная область,149580,30337,86408,32835,29367,1361
Чукотский автономный округ,47906,10559,31149,6198,19156,495